Job Title,Category,Skills
Data Scientist,Data Science,"Python, SQL, Pandas, NumPy, Scikit-Learn, Machine Learning"
Machine Learning Engineer,Artificial Intelligence,"Python, TensorFlow, PyTorch, Machine Learning, Deep Learning, Docker"
AI Engineer,Artificial Intelligence,"Python, TensorFlow, NLP, Deep Learning, Git"
Backend Developer,Software Development,"Java, Spring Boot, MySQL, REST API, Git"
Frontend Developer,Software Development,"HTML, CSS, JavaScript, React, Git"
Full Stack Developer,Software Development,"HTML, CSS, JavaScript, React, Node.js, Express.js, MongoDB"
Cloud Engineer,Cloud,"AWS, Docker, Kubernetes, Linux, Git"
DevOps Engineer,DevOps,"Docker, Kubernetes, Jenkins, Linux, AWS"
Data Engineer,Data,"Python, SQL, Spark, Hadoop, Kafka"
Data Analyst,Data,"SQL, Excel, Power BI, Python, Pandas"
Business Intelligence Analyst,Data,"Power BI, SQL, Excel, Tableau"
NLP Engineer,Artificial Intelligence,"Python, NLP, TensorFlow, PyTorch, Transformers"
Computer Vision Engineer,Artificial Intelligence,"Python, OpenCV, TensorFlow, PyTorch"
MLOps Engineer,Artificial Intelligence,"Python, Docker, Kubernetes, MLflow, AWS"
Java Developer,Software Development,"Java, Spring Boot, MySQL, Git"
Python Developer,Software Development,"Python, Flask, FastAPI, SQL, Git"
React Developer,Software Development,"React, JavaScript, HTML, CSS"
Angular Developer,Software Development,"Angular, TypeScript, HTML, CSS"
Android Developer,Mobile,"Kotlin, Android, Git"
iOS Developer,Mobile,"Swift, iOS, Git"
Flutter Developer,Mobile,"Flutter, Dart, Firebase"
QA Engineer,Testing,"Selenium, Java, Testing, Git"
Automation Test Engineer,Testing,"Selenium, Python, Java, Jenkins"
Cybersecurity Analyst,Security,"Networking, Linux, Cybersecurity"
SOC Analyst,Security,"Cybersecurity, Networking, Linux"
Penetration Tester,Security,"Linux, Networking, Python"
Site Reliability Engineer,DevOps,"Linux, Docker, Kubernetes, AWS"
Database Administrator,Database,"SQL, MySQL, PostgreSQL, Linux"
Blockchain Developer,Blockchain,"Solidity, Ethereum, Git"
Game Developer,Gaming,"C++, Unity, Git"
Software Engineer,Software Development,"Python, Java, Git, SQL, OOP"
Software Engineer II,Software Development,"Java, Spring Boot, REST API, MySQL, Git"
Associate Software Engineer,Software Development,"Java, Python, SQL, Git"
Junior Backend Developer,Software Development,"Java, Spring Boot, REST API, MySQL"
Senior Backend Developer,Software Development,"Java, Spring Boot, Docker, Kubernetes, AWS"
Junior Frontend Developer,Software Development,"HTML, CSS, JavaScript, React"
Senior Frontend Developer,Software Development,"React, TypeScript, Redux, HTML, CSS"
MERN Stack Developer,Software Development,"MongoDB, Express.js, React, Node.js"
MEAN Stack Developer,Software Development,"MongoDB, Express.js, Angular, Node.js"
Node.js Developer,Software Development,"Node.js, Express.js, MongoDB, REST API"
Django Developer,Software Development,"Python, Django, PostgreSQL, Git"
Flask Developer,Software Development,"Python, Flask, SQL, REST API"
FastAPI Developer,Software Development,"Python, FastAPI, Docker, SQL"
Data Visualization Engineer,Data Science,"Python, Tableau, Power BI, Pandas"
Business Analyst,Business Intelligence,"SQL, Excel, Power BI, Communication"
